#Organism/Name,BioProject,Group,SubGroup,Size (Mb),GC%,Chromosomes/RefSeq,Chromosomes/INSDC,Plasmids/RefSeq,Plasmids/INSDC,WGS,Scaffolds,Genes,Proteins,Release Date,Modify Date,Status
Helicobacter pylori India7,PRJNA161149,Proteobacteria,delta/epsilon subdivisions,1.67592,38.9,NC_017372.1,CP002331.1,-,-,-,1,1642,1600,1/6/2011,1/30/2014,Complete
Dehalococcoides ethenogenes 195,PRJNA57763,Chloroflexi,Dehalococcoidia,1.46972,48.9,NC_002936.3,CP000027.1,-,-,-,1,1642,1580,10/3/2001,6/10/2013,Complete
Helicobacter pylori UM299,PRJNA203026,Proteobacteria,delta/epsilon subdivisions,1.60115,38.8,NC_021216.2,CP005491.2,-,-,-,1,1644,1576,5/14/2013,12/11/2013,Complete
Streptococcus pyogenes M1 476,PRJNA193766,Firmicutes,Bacilli,1.83113,38.5,NC_020540.2,AP012491.2,-,-,-,1,1644,1571,7/14/2012,9/25/2013,Complete
Helicobacter pylori Shi470,PRJNA59165,Proteobacteria,delta/epsilon subdivisions,1.60855,38.9,NC_010698.2,CP001072.2,-,-,-,1,1645,1566,5/14/2008,8/27/2013,Complete
Helicobacter pylori 908,PRJNA159985,Proteobacteria,delta/epsilon subdivisions,1.54967,39.3,NC_017357.1,CP002184.1,-,-,-,1,1646,1595,9/24/2010,6/11/2013,Complete
Helicobacter pylori Gambia94/24,PRJNA159493,Proteobacteria,delta/epsilon subdivisions,1.71247,39.0975,NC_017371.1,CP002332.1,NC_017364.1,CP002333.1,-,2,1647,1605,1/6/2011,1/30/2014,Complete
Helicobacter pylori 2017,PRJNA161151,Proteobacteria,delta/epsilon subdivisions,1.54824,39.3,NC_017374.1,CP002571.1,-,-,-,1,1647,1593,3/15/2011,6/11/2013,Complete
Thermocrinis albus DSM 14484,PRJNA46231,Aquificae,Aquificae,1.50058,46.9,NC_013894.1,CP001931.1,-,-,-,1,1652,1593,2/19/2010,1/28/2014,Complete
Helicobacter pylori 2018,PRJNA161159,Proteobacteria,delta/epsilon subdivisions,1.56283,39.3,NC_017381.1,CP002572.1,-,-,-,1,1655,1603,3/15/2011,6/11/2013,Complete
Helicobacter pylori 83,PRJNA161153,Proteobacteria,delta/epsilon subdivisions,1.61743,38.7,NC_017375.1,CP002605.1,-,-,-,1,1656,1609,5/11/2011,8/28/2013,Complete
Campylobacter jejuni subsp. jejuni PT14,PRJNA176499,Proteobacteria,delta/epsilon subdivisions,1.63525,30.5,NC_018709.2,CP003871.2,-,-,-,1,1657,1607,10/3/2012,12/4/2013,Complete
Helicobacter pylori UM066,PRJNA203028,Proteobacteria,delta/epsilon subdivisions,1.65787,38.6,NC_021218.2,CP005493.2,-,-,-,1,1660,1580,5/14/2013,12/23/2013,Complete
Bifidobacterium animalis subsp. lactis Bi-07,PRJNA163693,Actinobacteria,Actinobacteria,1.93882,60.5,NC_017867.1,CP003498.1,-,-,-,1,1661,1597,5/7/2012,1/30/2014,Complete
Helicobacter acinonychis str. Sheeba,PRJNA58685,Proteobacteria,delta/epsilon subdivisions,1.55759,38.1915,NC_008229.1,AM260522.1,NC_008230.1,AM260523.1,-,2,1661,1619,6/28/2006,5/23/2013,Complete
Hydrogenobaculum sp. SN,PRJNA46251,Aquificae,Aquificae,1.55293,34.8,NC_020814.1,CP004390.1,-,-,-,1,1663,1575,3/25/2013,7/17/2013,Complete
Bartonella henselae str. Houston-1,PRJNA57745,Proteobacteria,Alphaproteobacteria,1.93105,38.2,NC_005956.1,BX897699.1,-,-,-,1,1665,1488,6/24/2004,6/10/2013,Complete
Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819,PRJNA57587,Proteobacteria,delta/epsilon subdivisions,1.64148,30.5,NC_002163.1,AL111168.1,-,-,-,1,1670,1576,9/27/2001,9/4/2013,Complete
Campylobacter jejuni subsp. jejuni ICDCCJ07001,PRJNA61249,Proteobacteria,delta/epsilon subdivisions,1.70892,30.551,NC_014802.1,CP002029.1,NC_014801.1,CP002030.1,-,2,1671,1534,12/14/2010,1/30/2014,Complete
Hydrogenobaculum sp. HO,PRJNA190882,Aquificae,Aquificae,1.55293,34.8,NC_020411.1,CP004347.1,-,-,-,1,1672,1579,2/26/2013,7/17/2013,Complete
Lactobacillus salivarius CECT 5713,PRJNA162005,Firmicutes,Bacilli,2.13614,33.0072,NC_017481.1,CP002034.1,"NC_017480.1,NC_017479.1,NC_017499.1","CP002036.1,CP002035.1,CP002037.1",-,4,1674,1552,7/7/2010,6/8/2013,Complete
Campylobacter jejuni subsp. jejuni M1,PRJNA159535,Proteobacteria,delta/epsilon subdivisions,1.61665,30.6,NC_017280.1,CP001900.1,-,-,-,1,1675,1622,9/28/2010,1/30/2014,Complete
Campylobacter jejuni subsp. jejuni 81116,PRJNA58771,Proteobacteria,delta/epsilon subdivisions,1.62811,30.5,NC_009839.1,CP000814.1,-,-,-,1,1681,1626,9/20/2007,1/30/2014,Complete
Helicobacter pylori XZ274,PRJNA165869,Proteobacteria,delta/epsilon subdivisions,1.65654,38.6067,NC_017926.1,CP003419.1,NC_017919.1,CP003420.1,-,2,1682,1438,5/14/2012,6/8/2013,Complete
Thermodesulfobacterium geofontis OPF15,PRJNA67515,Thermodesulfobacteria,Thermodesulfobacteria,1.63438,30.6,-,-,-,-,-,1,1687,1596,6/7/2011,7/17/2013,Complete
Thermodesulfobacterium geofontis OPF15,PRJNA68283,Thermodesulfobacteria,Thermodesulfobacteria,1.63438,30.6,NC_015682.1,CP002829.1,-,-,-,1,1687,1596,6/7/2011,7/17/2013,Complete
Haemophilus influenzae PittEE,PRJNA58591,Proteobacteria,Gammaproteobacteria,1.81303,38,NC_009566.1,CP000671.1,-,-,-,1,1688,1612,6/7/2007,1/30/2014,Complete
Thermocrinis ruber DSM 12173,PRJNA75073,Aquificae,Aquificae,1.52104,45.2,-,CP007028.1,-,-,-,1,1691,1627,1/3/2014,1/3/2014,Complete
Hydrogenobaculum sp. Y04AAS1,PRJNA58857,Aquificae,Aquificae,1.55951,34.8,NC_011126.1,CP001130.1,-,-,-,1,1694,1629,8/6/2008,1/28/2014,Complete
Campylobacter jejuni subsp. jejuni NCTC 11168-BN148,PRJEA174152,Proteobacteria,delta/epsilon subdivisions,1.64148,30.5,NC_018521.1,HE978252.1,-,-,-,1,1698,1621,8/16/2012,8/28/2013,Complete
Campylobacter jejuni 4031,PRJNA222817,Proteobacteria,delta/epsilon subdivisions,1.66933,30.5,NC_022529.1,HG428754.1,-,-,-,1,1698,1698,10/2/2013,10/17/2013,Complete
Helicobacter felis ATCC 49179,PRJNA61409,Proteobacteria,delta/epsilon subdivisions,1.67268,44.5,NC_014810.2,FQ670179.2,-,-,-,1,1701,1653,12/16/2010,8/28/2013,Complete
Bifidobacterium adolescentis ATCC 15703,PRJNA58559,Actinobacteria,Actinobacteria,2.08964,59.2,NC_008618.1,AP009256.1,-,-,-,1,1702,1632,12/6/2006,6/10/2013,Complete
Bifidobacterium animalis subsp. lactis BB-12,PRJNA158871,Actinobacteria,Actinobacteria,1.9422,60.5,NC_017214.1,CP001853.1,-,-,-,1,1706,1642,2/19/2010,1/30/2014,Complete
Filifactor alocis ATCC 35896,PRJNA46625,Firmicutes,Clostridia,1.93101,35.4,NC_016630.1,CP002390.1,-,-,-,1,1709,1641,1/27/2011,6/11/2013,Complete
Helicobacter pylori UM037,PRJNA203027,Proteobacteria,delta/epsilon subdivisions,1.69282,38.9,NC_021217.2,CP005492.2,-,-,-,1,1711,1637,5/14/2013,1/31/2014,Complete
Campylobacter coli 15-537360,PRJNA226113,Proteobacteria,delta/epsilon subdivisions,1.68502,31.3688,NC_022660.1,CP006702.1,NC_022656.1,CP006703.1,-,2,1711,1621,11/1/2013,12/27/2013,Complete
butyrate-producing bacterium SM4/1,PRJNA45955,Firmicutes,Clostridia,3.10887,49.8,-,-,-,-,-,1,1715,1684,3/25/2010,3/25/2010,Complete
Bifidobacterium animalis subsp. lactis CNCM I-2494,PRJNA158869,Actinobacteria,Actinobacteria,1.94311,60.5,NC_017215.1,CP002915.1,-,-,-,1,1724,1660,7/18/2011,6/11/2013,Complete
Campylobacter jejuni subsp. jejuni 00-2426,PRJNA219324,Proteobacteria,delta/epsilon subdivisions,1.61514,30.4,NC_022352.1,CP006708.1,-,-,-,1,1725,1686,9/12/2013,9/16/2013,Complete
Bifidobacterium asteroides PRL2011,PRJNA176921,Actinobacteria,Actinobacteria,2.1673,60.1,NC_018720.1,CP003325.1,-,-,-,1,1731,1658,10/9/2012,6/11/2013,Complete
Helicobacter cetorum MIT 99-5656,PRJNA162215,Proteobacteria,delta/epsilon subdivisions,1.84779,35.5778,NC_017735.1,CP003481.1,NC_017736.1,CP003482.1,-,2,1731,1689,4/19/2012,1/30/2014,Complete
Spiribacter salinus M19-40,PRJNA199898,Proteobacteria,Gammaproteobacteria,1.73949,62.7,NC_021291.1,CP005963.1,-,-,-,1,1732,1684,5/24/2013,1/30/2014,Complete
Haemophilus influenzae PittGG,PRJNA58593,Proteobacteria,Gammaproteobacteria,1.88719,38,NC_009567.1,CP000672.1,-,-,-,1,1735,1661,6/7/2007,1/30/2014,Complete
Thioalkalimicrobium cyclicum ALM1,PRJNA67391,Proteobacteria,Gammaproteobacteria,1.93246,47,NC_015581.1,CP002776.1,-,-,-,1,1735,1665,5/25/2011,7/17/2013,Complete
Campylobacter jejuni subsp. jejuni IA3902,PRJNA159531,Proteobacteria,delta/epsilon subdivisions,1.67222,30.4955,NC_017279.1,CP001876.1,NC_017284.1,CP001877.1,-,2,1740,1666,1/29/2010,6/8/2013,Complete
Brucella ceti TE10759-12,PRJNA229880,Proteobacteria,Alphaproteobacteria,2.11772,57.2,"NC_022906.1,NC_022905.1","CP006897.1,CP006896.1",-,-,-,-,1742,1694,11/25/2013,11/26/2013,Complete
Bifidobacterium longum subsp. longum F8,PRJNA197184,Actinobacteria,Actinobacteria,2.38499,59.9,NC_021008.1,FP929034.1,-,-,-,1,1743,1681,3/25/2010,8/28/2013,Complete
Haemophilus influenzae R2846,PRJNA161921,Proteobacteria,Gammaproteobacteria,1.81937,38,NC_017452.1,CP002276.1,-,-,-,1,1744,1636,10/25/2010,1/31/2014,Complete
Helicobacter pylori SouthAfrica20,PRJNA216150,Proteobacteria,delta/epsilon subdivisions,1.6229,38.6,NC_022130.1,CP006691.1,-,-,-,-,1744,1702,8/21/2013,10/25/2013,Complete
Campylobacter coli CVM N29710,PRJNA219322,Proteobacteria,delta/epsilon subdivisions,1.73205,31.4057,NC_022347.1,CP004066.1,"NC_022348.1,NC_022355.1","CP004068.1,CP004067.1",-,3,1747,1694,9/9/2013,1/30/2014,Complete
Helicobacter pylori B8,PRJNA49873,Proteobacteria,delta/epsilon subdivisions,1.68003,38.7896,NC_014256.1,FN598874.1,NC_014257.1,FN665651.1,-,2,1749,1707,6/15/2010,6/8/2013,Complete
Francisella tularensis subsp. mediasiatica FSC147,PRJNA58939,Proteobacteria,Gammaproteobacteria,1.89389,32.3,NC_010677.1,CP000915.1,-,-,-,1,1750,1406,5/7/2008,6/10/2013,Complete
Streptococcus pyogenes MGAS15252,PRJNA158037,Firmicutes,Bacilli,1.75083,38.5,NC_017040.1,CP003116.1,-,-,-,1,1757,1662,3/1/2012,7/6/2013,Complete
Campylobacter jejuni subsp. jejuni 00-2538,PRJNA219325,Proteobacteria,delta/epsilon subdivisions,1.66479,30.5,NC_022351.1,CP006707.1,-,-,-,1,1759,1713,9/12/2013,9/16/2013,Complete
Campylobacter sp. 03-427,PRJNA226993,Proteobacteria,delta/epsilon subdivisions,1.77548,33.1,NC_022759.1,CP006833.1,-,-,-,1,1761,1695,11/5/2013,12/27/2013,Complete
Prochlorococcus marinus subsp. pastoris str. CCMP1986,PRJNA57761,Cyanobacteria,Prochlorales,1.65799,30.8,NC_005072.1,BX548174.1,-,-,-,1,1762,1717,8/14/2003,6/10/2013,Complete
Francisella tularensis subsp. tularensis TI0902,PRJNA89373,Proteobacteria,Gammaproteobacteria,1.89274,32.3,NC_016937.1,CP003049.1,-,-,-,1,1764,1544,2/23/2012,7/6/2013,Complete
Haemophilus influenzae Rd KW20,PRJNA57771,Proteobacteria,Gammaproteobacteria,1.83014,38.2,NC_000907.1,L42023.1,-,-,-,1,1765,1610,7/25/1995,9/11/2013,Complete
Sulfurihydrogenibium azorense Az-Fu1,PRJNA58121,Aquificae,Aquificae,1.64088,32.8,NC_012438.1,CP001229.1,-,-,-,1,1768,1723,3/25/2009,6/10/2013,Complete
Leuconostoc carnosum JB16,PRJNA176371,Firmicutes,Bacilli,1.77347,37.091,NC_018673.1,CP003851.1,"NC_018675.1,NC_018674.1,NC_018698.1,NC_018699.1","CP003854.1,CP003852.1,CP003853.1,CP003855.1",-,5,1769,1691,9/28/2012,1/30/2014,Complete
Dehalogenimonas lykanthroporepellens BL-DC-9,PRJNA48131,Chloroflexi,Dehalococcoidia,1.68651,55,NC_014314.1,CP002084.1,-,-,-,1,1772,1659,6/25/2010,1/28/2014,Complete
Helicobacter cetorum MIT 00-7128,PRJNA162217,Proteobacteria,delta/epsilon subdivisions,1.96011,34.5,NC_017737.1,CP003479.1,NC_017738.1,CP003480.1,-,2,1775,1731,4/19/2012,1/30/2014,Complete
Porphyromonas asaccharolytica DSM 20707,PRJNA66603,Bacteroidetes/Chlorobi group,Bacteroidetes,2.18637,52.5,NC_015501.1,CP002689.1,-,-,-,1,1777,1699,5/5/2011,7/6/2013,Complete
Hippea maritima DSM 10411,PRJNA65267,Proteobacteria,delta/epsilon subdivisions,1.69443,37.5,NC_015318.1,CP002606.1,-,-,-,1,1779,1677,3/29/2011,7/6/2013,Complete
Erysipelothrix rhusiopathiae str. Fujisawa,PRJNA68021,Firmicutes,Erysipelotrichia,1.78794,36.6,NC_015601.1,AP012027.1,-,-,-,1,1780,1697,5/31/2011,7/6/2013,Complete
Francisella novicida U112,PRJNA58499,Proteobacteria,Gammaproteobacteria,1.91003,32.5,NC_008601.1,CP000439.1,-,-,-,1,1781,1719,11/28/2006,1/31/2014,Complete
Streptococcus intermedius JTH08,PRJDA168614,Firmicutes,Bacilli,1.93361,37.7,NC_018073.1,AP010969.1,-,-,-,1,1781,1702,6/16/2012,6/11/2013,Complete
Polynucleobacter necessarius subsp. necessarius STIR1,PRJNA58967,Proteobacteria,Betaproteobacteria,1.56047,45.6,NC_010531.1,CP001010.1,-,-,-,1,1783,1508,3/28/2008,1/28/2014,Complete
Campylobacter jejuni subsp. jejuni 00-2425,PRJNA219359,Proteobacteria,delta/epsilon subdivisions,1.71898,30.5,NC_022362.1,CP006729.1,-,-,-,1,1787,1714,9/16/2013,9/16/2013,Complete
Streptococcus pyogenes NZ131,PRJNA59035,Firmicutes,Bacilli,1.81578,38.6,NC_011375.1,CP000829.1,-,-,-,1,1788,1700,10/16/2008,6/10/2013,Complete
Bifidobacterium bifidum PRL2010,PRJNA59883,Actinobacteria,Actinobacteria,2.21466,62.7,NC_014638.1,CP001840.1,-,-,-,1,1791,1706,11/2/2010,7/6/2013,Complete
Streptococcus pyogenes MGAS1882,PRJNA158061,Firmicutes,Bacilli,1.78103,38.5,NC_017053.1,CP003121.1,-,-,-,1,1792,1691,3/1/2012,7/6/2013,Complete
Lactobacillus delbrueckii subsp. bulgaricus 2038,PRJNA161929,Firmicutes,Bacilli,1.87292,49.7,NC_017469.1,CP000156.1,-,-,-,1,1792,1792,3/3/2011,1/30/2014,Complete
Nautilia profundicola AmH,PRJNA59345,Proteobacteria,delta/epsilon subdivisions,1.67644,33.5,NC_012115.1,CP001279.1,-,-,-,1,1796,1730,2/13/2009,6/10/2013,Complete
Bifidobacterium longum NCC2705,PRJNA57939,Actinobacteria,Actinobacteria,2.26027,60.1075,NC_004307.2,AE014295.3,NC_004943.1,AF540971.1,-,2,1799,1728,9/27/2002,7/22/2013,Complete
Campylobacter jejuni subsp. jejuni 00-2544,PRJNA219326,Proteobacteria,delta/epsilon subdivisions,1.71006,30.3726,NC_022353.1,CP006709.1,NC_022354.1,CP006710.1,-,2,1804,1763,9/12/2013,9/16/2013,Complete
Campylobacter hominis ATCC BAA-381,PRJNA58981,Proteobacteria,delta/epsilon subdivisions,1.71495,31.7051,NC_009714.1,CP000776.1,NC_009713.1,CP000775.1,-,2,1804,1687,7/25/2007,6/7/2013,Complete
Zymomonas mobilis subsp. mobilis ZM4 = ATCC 31821,PRJNA58095,Proteobacteria,Alphaproteobacteria,2.05636,46.3,NC_006526.2,AE008692.2,-,-,-,1,1807,1736,12/10/2004,6/10/2013,Complete
Lactobacillus johnsonii FI9785,PRJNA41735,Firmicutes,Bacilli,1.78512,34.4436,NC_013504.1,FN298497.1,"NC_013505.1,NC_012552.1","FN357112.1,AY862141.1",-,3,1807,1735,8/29/2005,6/7/2013,Complete
Streptococcus pyogenes M1 GAS,PRJNA57845,Firmicutes,Bacilli,1.85244,38.5,NC_002737.1,AE004092.1,-,-,-,1,1810,1696,4/10/2001,6/27/2013,Complete
Francisella tularensis subsp. holarctica FSC200,PRJNA54341,Proteobacteria,Gammaproteobacteria,1.89416,32.2,NC_019551.1,CP003862.1,-,-,-,1,1810,1438,9/28/2012,12/11/2013,Complete
Lactobacillus johnsonii N6.2,PRJNA229876,Firmicutes,Bacilli,1.88725,34.5,NC_022909.1,CP006811.1,-,-,-,1,1810,1697,11/25/2013,11/26/2013,Complete
Campylobacter jejuni subsp. jejuni 81-176,PRJNA58503,Proteobacteria,delta/epsilon subdivisions,1.69905,30.4566,NC_008787.1,CP000538.1,"NC_008790.1,NC_008770.1","CP000549.1,CP000550.1",-,3,1812,1758,1/9/2007,6/6/2013,Complete
Pediococcus pentosaceus SL4,PRJNA227215,Firmicutes,Bacilli,1.78914,37.3,NC_022780.1,CP006854.1,-,-,-,1,1817,1709,11/8/2013,1/6/2014,Complete
Campylobacter fetus subsp. fetus 82-40,PRJNA58545,Proteobacteria,delta/epsilon subdivisions,1.77361,33.3,NC_008599.1,CP000487.1,-,-,-,1,1820,1719,11/27/2006,6/10/2013,Complete
Thermanaerovibrio acidaminovorans DSM 6589,PRJNA41925,Synergistetes,Synergistia,1.84847,63.8,NC_013522.1,CP001818.1,-,-,-,1,1821,1730,11/19/2009,12/11/2013,Complete
Chlorobium phaeovibrioides DSM 265,PRJNA58129,Bacteroidetes/Chlorobi group,Chlorobi,1.96686,53,NC_009337.1,CP000607.1,-,-,-,1,1824,1753,4/12/2007,1/28/2014,Complete
Zymomonas mobilis subsp. mobilis ATCC 29191,PRJNA170612,Proteobacteria,Alphaproteobacteria,2.00834,46.109,NC_018145.1,CP003704.1,"NC_018146.1,NC_018148.1,NC_018147.1","CP003705.1,CP003707.1,CP003706.1",-,4,1826,1709,7/13/2012,7/22/2013,Complete
Sulfurihydrogenibium sp. YO3AOP1,PRJNA58855,Aquificae,Aquificae,1.83844,32,NC_010730.1,CP001080.1,-,-,-,1,1829,1721,5/21/2008,1/28/2014,Complete
Francisella tularensis subsp. tularensis SCHU S4,PRJNA57589,Proteobacteria,Gammaproteobacteria,1.89278,32.3,NC_006570.2,AJ749949.2,-,-,-,1,1834,1556,12/14/2004,8/30/2013,Complete
Lactobacillus helveticus DPC 4571,PRJNA58761,Firmicutes,Bacilli,2.08093,37.1,NC_010080.1,CP000517.1,-,-,-,1,1838,1610,11/15/2007,6/27/2013,Complete
Haemophilus ducreyi 35000HP,PRJNA57625,Proteobacteria,Gammaproteobacteria,1.69895,38.2,NC_002940.2,AE017143.1,-,-,-,1,1838,1717,10/24/2001,6/10/2013,Complete
Streptococcus anginosus C1051,PRJNA218003,Firmicutes,Bacilli,1.91171,39,NC_022244.1,CP003860.1,-,-,-,1,1839,1729,9/3/2013,9/4/2013,Complete
Zymomonas mobilis subsp. pomaceae ATCC 29192,PRJNA68445,Proteobacteria,Alphaproteobacteria,2.06141,44.0421,NC_015709.1,CP002865.1,"NC_015716.1,NC_015715.1","CP002867.1,CP002866.1",-,3,1840,1748,6/17/2011,7/17/2013,Complete
Olsenella uli DSM 7084,PRJNA51367,Actinobacteria,Actinobacteria,2.0519,64.7,NC_014363.1,CP002106.1,-,-,-,1,1841,1739,7/26/2010,1/8/2014,Complete
Pediococcus pentosaceus ATCC 25745,PRJNA57981,Firmicutes,Bacilli,1.83239,37.4,NC_008525.1,CP000422.1,-,-,-,1,1844,1752,10/13/2006,1/28/2014,Complete
Bifidobacterium bifidum S17,PRJNA59545,Actinobacteria,Actinobacteria,2.18688,62.8,NC_014616.1,CP002220.1,-,-,-,1,1845,1783,10/19/2010,7/6/2013,Complete
Fervidobacterium nodosum Rt17-B1,PRJNA58625,Thermotogae,Thermotogae,1.94894,35,NC_009718.1,CP000771.1,-,-,-,1,1846,1750,7/30/2007,12/11/2013,Complete
Bifidobacterium breve 12L,PRJNA214949,Actinobacteria,Actinobacteria,2.24462,58.9,-,CP006711.1,-,-,-,1,1847,1765,2/14/2014,2/14/2014,Complete
Francisella tularensis subsp. tularensis TIGB03,PRJNA89379,Proteobacteria,Gammaproteobacteria,1.96865,32.3,NC_016933.1,CP003048.1,-,-,-,1,1850,1624,2/23/2012,7/6/2013,Complete
Francisella tularensis subsp. tularensis FSC198,PRJNA58693,Proteobacteria,Gammaproteobacteria,1.89262,32.3,NC_008245.1,AM286280.1,-,-,-,1,1852,1605,7/12/2006,6/10/2013,Complete
Ruminococcus bromii L2-63,PRJNA197158,Firmicutes,Clostridia,2.24909,41.4,NC_021013.1,FP929051.1,-,-,-,1,1852,1811,3/25/2010,6/11/2013,Complete
Lactobacillus johnsonii DPC 6026,PRJNA162057,Firmicutes,Bacilli,1.96634,34.8,NC_017477.1,CP002464.1,-,-,-,1,1854,1772,4/20/2011,6/11/2013,Complete
Prochlorococcus marinus str. MIT 9312,PRJNA58357,Cyanobacteria,Prochlorales,1.7092,31.2,NC_007577.1,CP000111.1,-,-,-,1,1856,1810,11/2/2005,1/28/2014,Complete
Streptococcus pyogenes HSC5,PRJNA212978,Firmicutes,Bacilli,1.81835,38.5,NC_021807.1,CP006366.1,-,-,-,1,1856,1744,7/11/2013,11/26/2013,Complete
Coriobacterium glomerans PW2,PRJNA65787,Actinobacteria,Actinobacteria,2.11568,60.4,NC_015389.1,CP002628.1,-,-,-,1,1858,1768,4/7/2011,11/5/2013,Complete
Oenococcus oeni PSU-1,PRJNA59417,Firmicutes,Bacilli,1.78052,37.9,NC_008528.1,CP000411.1,-,-,-,1,1864,1691,10/13/2006,1/28/2014,Complete
Thermotoga petrophila RKU-1,PRJNA58655,Thermotogae,Thermotogae,1.82351,46.1,NC_009486.1,CP000702.1,-,-,-,1,1864,1785,5/18/2007,1/28/2014,Complete
Dictyoglomus turgidum DSM 6724,PRJNA59177,Dictyoglomi,Dictyoglomia,1.85556,34,NC_011661.1,CP001251.1,-,-,-,1,1865,1742,12/12/2008,12/11/2013,Complete
Campylobacter jejuni subsp. jejuni S3,PRJNA159533,Proteobacteria,delta/epsilon subdivisions,1.72459,30.4624,NC_017281.1,CP001960.1,NC_017282.1,CP001961.1,-,2,1866,1783,12/14/2010,6/8/2013,Complete
Streptococcus pyogenes Alab49,PRJNA162171,Firmicutes,Bacilli,1.82731,38.6,NC_017596.1,CP003068.1,-,-,-,1,1866,1773,10/7/2011,1/30/2014,Complete
Francisella cf. novicida Fx1,PRJNA162105,Proteobacteria,Gammaproteobacteria,1.91362,32.5,NC_017450.1,CP002557.1,-,-,-,1,1867,1818,4/8/2011,6/11/2013,Complete
Thermotoga naphthophila RKU-10,PRJNA42777,Thermotogae,Thermotogae,1.80982,46.1,NC_013642.1,CP001839.1,-,-,-,1,1867,1768,12/18/2009,1/28/2014,Complete
Candidatus Cloacimonas acidaminovorans str. Evry,PRJNA62959,unclassified Bacteria,Cloacimonetes,2.24682,37.9,"NS_000195.1,NC_020449.1","CU466930.1,CU466930.1",-,-,-,1,1869,1815,2/12/2008,12/22/2012,Complete
Streptococcus agalactiae SA20-06,PRJNA178722,Firmicutes,Bacilli,1.82089,35.6,NC_019048.1,CP003919.1,-,-,-,1,1872,1710,11/2/2012,6/11/2013,Complete
Francisella tularensis subsp. tularensis WY96-3418,PRJNA58811,Proteobacteria,Gammaproteobacteria,1.89848,32.3,NC_009257.1,CP000608.1,-,-,-,1,1872,1634,3/24/2007,1/30/2014,Complete
Finegoldia magna ATCC 29328,PRJNA58867,Firmicutes,Clostridia,1.98674,32.0524,NC_010376.1,AP008971.1,NC_010371.1,AP008972.1,-,2,1872,1812,2/14/2008,6/10/2013,Complete
Bifidobacterium breve JCM 7017,PRJNA214950,Actinobacteria,Actinobacteria,2.28892,58.7,-,CP006712.1,-,-,-,1,1873,1770,2/14/2014,2/14/2014,Complete
Streptococcus intermedius C270,PRJNA217999,Firmicutes,Bacilli,1.96073,37.6,NC_022237.1,CP003858.1,-,-,-,1,1873,1778,9/3/2013,9/4/2013,Complete
Haemophilus somnus 129PT,PRJNA57929,Proteobacteria,Gammaproteobacteria,2.01288,37.1943,NC_008309.1,CP000436.1,NC_006298.1,CP000019.1,-,2,1874,1798,9/17/2004,1/28/2014,Complete
Leuconostoc gelidum JB7,PRJNA175682,Firmicutes,Bacilli,1.8935,36.7,NC_018631.1,CP003839.1,-,-,-,1,1875,1796,9/21/2012,1/30/2014,Complete
Francisella noatunensis subsp. orientalis str. Toba 04,PRJNA164779,Proteobacteria,Gammaproteobacteria,1.8472,32.2,NC_017909.1,CP003402.1,-,-,-,1,1875,1595,5/10/2012,6/11/2013,Complete
Bifidobacterium longum subsp. longum BBMN68,PRJNA60163,Actinobacteria,Actinobacteria,2.26594,59.9,NC_014656.1,CP002286.1,-,-,-,1,1876,1804,11/10/2010,8/28/2013,Complete
Haemophilus influenzae KR494,PRJNA219323,Proteobacteria,Gammaproteobacteria,1.85618,38.1,NC_022356.1,CP005967.1,-,-,-,1,1878,1742,9/9/2013,10/24/2013,Complete
Arcanobacterium haemolyticum DSM 20595,PRJNA49489,Actinobacteria,Actinobacteria,1.98615,53.1,NC_014218.1,CP002045.1,-,-,-,1,1885,1731,5/27/2010,1/28/2014,Complete
Francisella tularensis subsp. holarctica FTNF002-00,PRJNA58999,Proteobacteria,Gammaproteobacteria,1.89091,32.2,NC_009749.1,CP000803.1,-,-,-,1,1887,1581,8/23/2007,1/30/2014,Complete
Lactobacillus helveticus H9,PRJNA49151,Firmicutes,Bacilli,1.87112,37,-,CP002427.1,-,-,-,1,1887,1695,2/3/2014,2/3/2014,Complete
Francisella tularensis subsp. tularensis NE061598,PRJNA161973,Proteobacteria,Gammaproteobacteria,1.89268,32.3,NC_017453.1,CP001633.1,-,-,-,1,1888,1836,12/28/2009,6/11/2013,Complete
Thermovibrio ammonificans HB-1,PRJNA62095,Aquificae,Aquificae,1.75953,52.1174,NC_014926.1,CP002444.1,NC_014917.1,CP002445.1,-,2,1889,1813,1/7/2011,7/6/2013,Complete
Francisella tularensis subsp. holarctica F92,PRJNA181998,Proteobacteria,Gammaproteobacteria,1.88689,32.2,NC_019537.1,CP003932.1,-,-,-,1,1890,1842,11/19/2012,1/30/2014,Complete
Haemophilus influenzae F3031,PRJNA62123,Proteobacteria,Gammaproteobacteria,1.98583,38.2,NC_014920.1,FQ670178.1,-,-,-,1,1892,1770,12/16/2010,7/6/2013,Complete
Haemophilus influenzae R2866,PRJNA161923,Proteobacteria,Gammaproteobacteria,1.93231,38.1,NC_017451.1,CP002277.1,-,-,-,1,1892,1795,10/22/2010,1/31/2014,Complete
Haemophilus influenzae F3047,PRJNA62097,Proteobacteria,Gammaproteobacteria,2.00702,38.2,NC_014922.1,FQ670204.1,-,-,-,1,1896,1786,1/10/2011,7/6/2013,Complete
